time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
0.072,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
0.342,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
0.653,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
0.966,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
1.244,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
1.525,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
1.813,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
2.091,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
2.388,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
2.67,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
2.936,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
3.216,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
3.47,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
3.52,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.25999999046325684,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25999999046325684,0.0,0.0,0.0,0.0
3.784,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
4.053,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
4.321,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
4.608,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
4.886,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
5.181,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
5.461,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
5.779,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.26999998092651367,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26999998092651367,0.0,0.0,0.0,0.0
6.049,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
6.334,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
6.64,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
6.913,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
7.202,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
7.476,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
7.753,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
7.984,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.2800000011920929,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800000011920929,0.0,0.0,0.0,0.0
8.039,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
8.272,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
8.455,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
8.53,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
8.62,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
8.698,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
8.777,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
8.827,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
9.139,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.28999999165534973,states_theta,0.006002223584800959,7.000671985496112e-07,9.091335803074134e-07,1.6923115266169284e-06,0.0,0.0,2.0804257707716806e-06,1.8278002910082806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999165534973,0.0,0.0,0.0,0.0
