time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.2400000095367432,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2400000095367432,0.0,0.0,0.0,0.0
0.224,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.25,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
0.352,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.2599999904632568,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2599999904632568,0.0,0.0,0.0,0.0
0.478,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.2799999713897705,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2799999713897705,0.0,0.0,0.0,0.0
0.577,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.2899999618530273,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2899999618530273,0.0,0.0,0.0,0.0
0.678,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.2999999523162842,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999523162842,0.0,0.0,0.0,0.0
0.776,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.2999999523162842,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999523162842,0.0,0.0,0.0,0.0
0.877,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.309999942779541,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309999942779541,0.0,0.0,0.0,0.0
0.977,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.3199999332427979,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3199999332427979,0.0,0.0,0.0,0.0
1.077,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-1.3299999237060547,states_theta,-0.07502780854701996,2.0935767952085174e-06,3.426274024540132e-06,0.0,8.554753693066371e-07,0.0,6.958751626672188e-06,0.0,8.934387365689314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3299999237060547,0.0,0.0,0.0,0.0
